pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,disc_year,discoverymethod,sy_dist
"Kepler-309 b","Kepler-309",5.92365300000,1.56000000,3.05000000,531.00,2014,"Transit",544.56800000
"Kepler-696 b","Kepler-696",4.19042557500,6.14000000,31.30000000,1234.00,2016,"Transit",1416.44000000
"Kepler-11 f","Kepler-11",46.68880000000,2.49000000,2.00000000,513.00,2010,"Transit",646.34600000
"Kepler-11 e","Kepler-11",31.99960000000,4.19000000,8.00000000,582.00,2010,"Transit",646.34600000
"Kepler-11 g","Kepler-11",118.38070000000,3.33000000,25.00000000,376.00,2010,"Transit",646.34600000
"Kepler-166 c","Kepler-166",34.26028100000,2.38000000,6.26000000,468.00,2014,"Transit",603.53000000
"Kepler-275 b","Kepler-275",10.30068200000,2.34000000,6.08000000,1015.00,2014,"Transit",2034.25000000
"Kepler-1298 b","Kepler-1298",7.12811928000,1.31000000,2.27000000,1373.00,2016,"Transit",544.16300000
"Kepler-11 c","Kepler-11",13.02410000000,2.87000000,2.90000000,786.00,2010,"Transit",646.34600000
"WASP-57 b","WASP-57",2.83891856000,11.76945000,204.68252000,1338.00,2012,"Transit",398.27600000
"HAT-P-50 b","HAT-P-50",3.12201090000,14.43719200,429.07050000,1862.00,2015,"Transit",515.45800000
"MOA-2008-BLG-379L b","MOA-2008-BLG-379L",,13.00000000,1300.00000000,,2013,"Microlensing",3300.00000000
"HD 13908 b","HD 13908",19.38200000000,13.90000000,274.91000000,,2013,"Radial Velocity",79.55150000
"Kepler-108 b","Kepler-108",49.18392100000,8.65000000,56.00000000,669.00,2014,"Transit",338.73200000
"Kepler-264 b","Kepler-264",40.80623100000,3.33000000,11.10000000,772.00,2014,"Transit",942.17300000
"Kepler-279 b","Kepler-279",12.30968100000,3.62000000,4180.93000000,1104.00,2014,"Transit",1037.40000000
"Kepler-286 c","Kepler-286",3.46809500000,1.37000000,2.45000000,1098.00,2014,"Transit",1226.85000000
"GJ 667 C c","GJ 667 C",28.14000000000,1.77000000,3.80000000,,2013,"Radial Velocity",7.24396000
"HD 13908 c","HD 13908",931.00000000000,12.80000000,1630.40000000,,2013,"Radial Velocity",79.55150000
"HD 159243 b","HD 159243",12.62000000000,13.70000000,359.13000000,,2013,"Radial Velocity",73.30550000
"Kepler-261 b","Kepler-261",10.38122700000,2.18000000,5.39000000,672.00,2014,"Transit",317.49900000
"HIP 57274 c","HIP 57274",32.03000000000,14.20000000,130.00000000,,2011,"Radial Velocity",25.86180000
"Kepler-292 d","Kepler-292",7.05567900000,2.23000000,5.60000000,808.00,2014,"Transit",1056.48000000
"GJ 667 C f","GJ 667 C",39.02600000000,1.45000000,2.70000000,,2013,"Radial Velocity",7.24396000
"HD 73526 c","HD 73526",379.10000000000,13.30000000,715.09000000,,2005,"Radial Velocity",97.23960000
"HD 106906 b","HD 106906",,12.40000000,3496.00000000,1800.00,2013,"Imaging",103.02900000
"Kepler-119 b","Kepler-119",2.42208200000,3.60000000,12.60000000,1213.00,2014,"Transit",701.99600000
"HD 220074 b","HD 220074",672.09998000000,12.20000000,5288.69120000,,2012,"Radial Velocity",324.54000000
"Kepler-343 b","Kepler-343",8.96855000000,2.41000000,6.39000000,1024.00,2014,"Transit",927.19300000
"Kepler-282 d","Kepler-282",24.80600000000,2.46000000,61.00000000,588.00,2013,"Transit",1337.61000000
"Kepler-619 b","Kepler-619",5.40427219700,3.16000000,10.10000000,1073.00,2016,"Transit",900.67800000
"Kepler-656 b","Kepler-656",1.26025909400,3.12000000,9.91000000,1569.00,2016,"Transit",890.35200000
"Kepler-273 b","Kepler-273",2.93653200000,1.50000000,2.86000000,1209.00,2014,"Transit",713.96400000
"Kepler-677 b","Kepler-677",6.57531678000,5.38000000,25.00000000,1015.00,2016,"Transit",1954.08000000
"Kepler-306 b","Kepler-306",4.64618600000,1.52000000,2.92000000,830.00,2014,"Transit",775.67900000
"Kepler-267 d","Kepler-267",28.46451500000,2.27000000,5.77000000,301.00,2014,"Transit",264.99300000
"DP Leo b","DP Leo",10220.00000000000,12.70000000,1995.88832000,,2009,"Eclipse Timing Variations",305.68400000
"Kepler-20 g","Kepler-20",34.94000000000,4.71000000,19.96000000,524.00,2016,"Radial Velocity",282.56300000
"Kepler-19 c","Kepler-19",28.73100000000,3.68000000,13.10000000,,2011,"Transit Timing Variations",218.56200000
"HAT-P-34 b","HAT-P-34",5.45265400000,13.41717300,1058.37390000,1520.00,2011,"Transit",249.32500000
"Kepler-549 c","Kepler-549",117.04049800000,2.93000000,8.91000000,349.00,2016,"Transit",635.14500000
"Kepler-603 d","Kepler-603",6.21712920000,1.32000000,2.30000000,1098.00,2016,"Transit",1539.63000000
"WASP-37 b","WASP-37",3.57746900000,13.00200000,572.07000000,1232.50,2010,"Transit",392.79100000
"WASP-90 b","WASP-90",3.91624300000,18.27067000,200.23290000,1840.00,2016,"Transit",466.43300000
"K2-26 b","K2-26",14.56650000000,2.67000000,7.61000000,430.00,2016,"Transit",99.05040000
"Kepler-276 c","Kepler-276",31.88400000000,2.90000000,16.60000000,563.00,2013,"Transit",1144.86000000
"Kepler-305 b","Kepler-305",5.48700000000,3.60000000,10.50000000,836.00,2013,"Transit",868.47700000
"Kepler-266 b","Kepler-266",6.61833000000,2.48000000,6.71000000,1066.00,2014,"Transit",1370.79000000
"Kepler-121 c","Kepler-121",41.00801100000,2.27000000,5.77000000,425.00,2014,"Transit",510.52300000
"Kepler-338 d","Kepler-338",44.43101400000,3.00000000,9.27000000,680.00,2014,"Transit",552.79800000
"2MASS J01225093-2439505 b","2MASS J01225093-2439505",,11.20900000,7786.50000000,1600.00,2013,"Imaging",33.82810000
"WASP-52 b","WASP-52",1.74977980000,14.24000000,146.20000000,1315.00,2012,"Transit",174.81800000
"WASP-75 b","WASP-75",2.48419300000,14.23500000,340.06000000,1710.00,2013,"Transit",294.00100000
"WASP-135 b","WASP-135",1.40137940000,14.57170000,603.87700000,1403.66,2015,"Transit",298.21400000
"HD 20794 e","HD 20794",147.02000000000,2.03000000,4.77000000,,2017,"Radial Velocity",6.00278000
"HD 27894 c","HD 27894",36.07000000000,8.24000000,51.48846000,,2017,"Radial Velocity",43.82140000
"Kepler-126 d","Kepler-126",100.28313400000,2.50000000,54.59018723,475.00,2014,"Transit",237.40100000
"Kepler-381 c","Kepler-381",13.39163500000,1.12000000,1.46000000,1180.00,2014,"Transit",267.32300000
"Kepler-249 d","Kepler-249",15.36845900000,1.57000000,3.09000000,332.00,2014,"Transit",190.40100000
"Kepler-254 d","Kepler-254",18.74647700000,2.50000000,6.80000000,686.00,2014,"Transit",1389.48000000
"Kepler-619 c","Kepler-619",1.20846502600,1.69000000,3.50000000,1767.00,2016,"Transit",900.67800000
"Kepler-1610 b","Kepler-1610",8.70181574000,1.61000000,3.22000000,750.00,2016,"Transit",864.33100000
"Kepler-363 d","Kepler-363",11.93212500000,2.05000000,4.86000000,905.00,2014,"Transit",762.59600000
"Kepler-366 b","Kepler-366",3.28195900000,1.46000000,2.73000000,1326.00,2014,"Transit",1856.28000000
"Kepler-141 b","Kepler-141",3.10767500000,0.69000000,0.25700000,968.00,2014,"Transit",301.18300000
"Kepler-142 d","Kepler-142",41.80911800000,2.16000000,5.31000000,582.00,2014,"Transit",548.68600000
"Kepler-400 b","Kepler-400",9.02438900000,1.65000000,3.36000000,939.00,2014,"Transit",845.97000000
"Kepler-204 c","Kepler-204",25.66059300000,1.79000000,3.86000000,683.00,2014,"Transit",686.72300000
"WASP-41 c","WASP-41",421.00000000000,13.10000000,1010.69940000,241.00,2015,"Radial Velocity",163.37100000
"Kepler-312 c","Kepler-312",19.74741200000,3.15000000,10.10000000,754.00,2014,"Transit",797.72000000
"Kepler-286 d","Kepler-286",5.91432300000,1.33000000,2.33000000,919.00,2014,"Transit",1226.85000000
"Kepler-91 b","Kepler-91",6.24658000000,15.32270300,257.44230000,2040.00,2013,"Transit",1294.69000000
"Kepler-1181 b","Kepler-1181",4.89337519000,1.57000000,3.09000000,1374.00,2016,"Transit",938.41700000
"Kepler-1489 b","Kepler-1489",82.29475100000,1.77000000,3.78000000,400.00,2016,"Transit",1283.05000000
"Kepler-1491 b","Kepler-1491",16.58617620000,1.51000000,2.89000000,821.00,2016,"Transit",2065.59000000
"CoRoT-7 b","CoRoT-7",0.85359163000,1.68135000,4.07660518,1756.00,2009,"Transit",159.90600000
"HD 176986 d","HD 176986",61.37600000000,2.49000000,6.76000000,363.00,2026,"Radial Velocity",27.78430000
"Kepler-354 b","Kepler-354",5.47666000000,1.84000000,4.04000000,741.00,2014,"Transit",554.06400000
"Kepler-368 b","Kepler-368",26.84768000000,3.26000000,10.70000000,800.00,2014,"Transit",770.97800000
"Kepler-135 b","Kepler-135",6.00253000000,1.81000000,3.93000000,1209.00,2014,"Transit",621.85500000
"Kepler-383 b","Kepler-383",12.90453200000,1.32000000,2.30000000,545.00,2014,"Transit",470.00000000
"HAT-P-66 b","HAT-P-66",2.97208600000,17.82231000,248.86089000,1896.00,2016,"Transit",935.45600000
"WASP-118 b","WASP-118",4.04604350000,16.14096000,163.36462000,1729.00,2016,"Transit",376.65800000
"WASP-7 b","WASP-7",4.95464160000,14.90797000,305.11680000,1487.00,2008,"Transit",162.30300000
"XO-4 b","XO-4",4.12508000000,14.01125000,451.31860000,1630.00,2010,"Transit",272.65500000
"KELT-2 A b","KELT-2 A",4.11379000000,15.13215000,540.31100000,2080.00,2012,"Transit",134.05800000
"K2-30 b","K2-30",4.09850300000,11.64615100,184.02357000,1092.00,2016,"Transit",333.04200000
"WASP-101 b","WASP-101",3.58572000000,16.02887000,162.09330000,1560.00,2014,"Transit",201.22400000
"Kepler-104 c","Kepler-104",23.66820500000,3.13000000,7.14430805,668.00,2014,"Transit",400.78500000
"Kepler-369 c","Kepler-369",14.87157200000,1.41000000,2.57000000,391.00,2014,"Transit",214.00000000
"Kepler-371 b","Kepler-371",34.76327800000,1.89000000,4.23000000,554.00,2014,"Transit",813.19200000
"Kepler-147 b","Kepler-147",12.61058400000,1.53000000,2.96000000,953.00,2014,"Transit",1042.02000000
"Kepler-132 d","Kepler-132",18.01019900000,1.55000000,3.02000000,758.00,2014,"Transit",349.54900000
"Kepler-208 c","Kepler-208",7.46662300000,1.39000000,2.51000000,1141.00,2014,"Transit",775.32800000
"Kepler-487 c","Kepler-487",38.65199760000,2.68000000,7.65000000,487.00,2016,"Transit",872.34300000
"Kepler-316 c","Kepler-316",6.82776600000,1.16000000,1.65000000,577.00,2014,"Transit",384.93800000
"Kepler-313 b","Kepler-313",14.97041800000,2.53000000,6.94000000,883.00,2014,"Transit",1079.39524871
"Kepler-372 c","Kepler-372",20.05376300000,2.09000000,5.02000000,755.00,2014,"Transit",1493.95000000
"Kepler-373 b","Kepler-373",5.53530900000,1.36000000,2.42000000,1054.00,2014,"Transit",1090.45000000
"HD 176986 c","HD 176986",16.81240000000,,2097.98531461,558.00,2017,"Radial Velocity",27.78430000
"Kepler-151 c","Kepler-151",24.67461200000,2.09000000,5.02000000,544.00,2014,"Transit",649.91900000
"Kepler-386 c","Kepler-386",25.19345800000,1.58000000,3.12000000,513.00,2014,"Transit",882.46200000
"Kepler-215 c","Kepler-215",14.66710800000,1.77000000,3.78000000,675.00,2014,"Transit",485.99700000
"Kepler-404 b","Kepler-404",11.82985100000,1.27000000,2.15000000,730.00,2014,"Transit",812.52400000
"NGTS-33 b","NGTS-33",2.82797200000,18.38272835,1153.71711741,1991.00,2024,"Transit",437.85500000
"OGLE-2018-BLG-1428L b","OGLE-2018-BLG-1428L",,14.00000000,240.00000000,,2021,"Microlensing",6220.00000000
"HAT-P-30 b","HAT-P-30",2.81060000000,16.14096000,263.79890000,1630.00,2011,"Transit",213.98500000
"TOI-1288 c","TOI-1288",416.00000000000,11.10000000,85.70000000,,2022,"Radial Velocity",114.86500000
"Kepler-317 b","Kepler-317",5.52424200000,2.09000000,109.80000000,976.00,2014,"Transit",940.58400000
"Kepler-319 c","Kepler-319",6.94135700000,2.63000000,7.41000000,876.00,2014,"Transit",503.43600000
"Kepler-375 c","Kepler-375",19.98632600000,2.65000000,7.51000000,720.00,2014,"Transit",1238.81000000
"Kepler-356 c","Kepler-356",13.12163200000,1.81000000,3.93000000,913.00,2014,"Transit",707.55900000
"Kepler-387 b","Kepler-387",6.79163600000,1.03000000,1.08000000,994.00,2014,"Transit",801.05200000
"Kepler-388 b","Kepler-388",3.17331500000,0.81000000,0.45700000,830.00,2014,"Transit",425.00000000
"Kepler-224 e","Kepler-224",18.64357700000,1.97000000,4.54000000,517.00,2014,"Transit",782.08800000
"Kepler-226 d","Kepler-226",8.10904400000,1.22000000,1.98000000,800.00,2014,"Transit",980.13800000
"Kepler-348 b","Kepler-348",7.05677000000,1.52000000,2.92000000,1196.00,2014,"Transit",570.78300000
"Kepler-338 b","Kepler-338",13.72697600000,2.44000000,30.60000000,1005.00,2014,"Transit",552.79800000
"Kepler-376 c","Kepler-376",14.17232700000,1.79000000,3.86000000,873.00,2014,"Transit",923.06700000
"Kepler-377 c","Kepler-377",27.01497600000,2.06000000,4.90000000,677.00,2014,"Transit",823.80400000
"Kepler-389 b","Kepler-389",3.24410700000,1.51000000,2.89000000,1047.00,2014,"Transit",816.55900000
"Kepler-118 b","Kepler-118",7.51849600000,1.96000000,4.50000000,784.00,2014,"Transit",574.22800000
"Kepler-123 c","Kepler-123",26.69507400000,1.48000000,2.79000000,706.00,2014,"Transit",1021.66000000
"Kepler-243 c","Kepler-243",20.02621800000,1.99000000,4.62000000,559.00,2014,"Transit",693.86000000
"GJ 3470 b","GJ 3470",3.33664960000,4.57000000,13.90000000,593.50,2012,"Radial Velocity",29.42140000
"Kepler-379 c","Kepler-379",62.78469700000,2.29000000,5.86000000,530.00,2014,"Transit",731.27400000
"Kepler-112 c","Kepler-112",28.57426300000,2.40000000,6.35000000,538.00,2014,"Transit",513.20600000
"Kepler-137 c","Kepler-137",18.73575300000,1.88000000,4.19000000,568.00,2014,"Transit",302.97900000
"Kepler-390 b","Kepler-390",6.73808800000,0.82000000,0.47700000,786.00,2014,"Transit",435.27700000
"K2-400 b","K2-400",3.86505300000,1.16300000,1.67000000,,2022,"Transit",62.38040000
"HD 6860 b","HD 6860",663.87000000000,11.90000000,8981.83078182,,2023,"Radial Velocity",61.12469000
"WASP-155 b","WASP-155",3.11041300000,13.45077684,276.82854250,1468.00,2025,"Transit",399.63000000
"Kepler-351 c","Kepler-351",57.24809000000,3.19000000,11.10000000,431.00,2014,"Transit",1083.91000000
"Kepler-327 b","Kepler-327",2.54957500000,1.11000000,1.41000000,682.00,2014,"Transit",241.98700000
"Kepler-114 b","Kepler-114",5.18854900000,1.26000000,1.09000000,586.00,2014,"Transit",259.53300000
"Kepler-358 c","Kepler-358",83.48836900000,2.85000000,8.50000000,411.00,2014,"Transit",1101.10000000
"Kepler-169 c","Kepler-169",6.19546900000,1.21000000,1.92000000,776.00,2014,"Transit",406.52900000
"Kepler-236 b","Kepler-236",8.29561100000,1.57000000,3.09000000,469.00,2014,"Transit",288.76300000
"Kepler-141 c","Kepler-141",7.01060600000,1.41000000,2.57000000,738.00,2014,"Transit",301.18300000
"Kepler-858 b","Kepler-858",76.13602028000,4.87000000,21.10000000,399.00,2016,"Transit",298.53200000
"Kepler-855 b","Kepler-855",7.88663110400,8.35000000,52.70000000,996.00,2016,"Transit",1506.58000000
"Kepler-321 c","Kepler-321",13.09392100000,2.32000000,5.99000000,752.00,2014,"Transit",384.54200000
"Kepler-349 b","Kepler-349",5.92977800000,1.90000000,94.50000000,972.00,2014,"Transit",940.72400000
"Kepler-353 c","Kepler-353",8.41089400000,1.38000000,2.48000000,472.00,2014,"Transit",384.69400000
"Kepler-359 c","Kepler-359",57.68802000000,4.30000000,2.90000000,512.00,2014,"Transit",1443.21000000
"Kepler-173 b","Kepler-173",4.26374200000,1.29000000,2.21000000,1179.00,2014,"Transit",833.16500000
"K2-29 b","K2-29",3.25883210000,13.33871000,232.01590000,1171.00,2016,"Transit",178.47500000
"Kepler-180 b","Kepler-180",13.81712400000,1.50000000,2.86000000,781.00,2014,"Transit",695.65000000
"Kepler-244 d","Kepler-244",20.05040100000,2.31000000,15.20000000,622.00,2014,"Transit",1036.49000000
"Kepler-254 c","Kepler-254",12.41218300000,2.15000000,3.20000000,787.00,2014,"Transit",1389.48000000
"WASP-92 b","WASP-92",2.17467420000,16.37634900,255.85315000,1871.00,2016,"Transit",575.88900000
"TOI-6109 b","TOI-6109",5.69047600000,4.87040000,21.10000000,700.00,2025,"Transit",151.73800000
"Kepler-619 d","Kepler-619",11.67894236000,4.17000000,16.20000000,830.00,2023,"Transit",900.67800000
"Kepler-138 d","Kepler-138",23.09230000000,1.51000000,2.10000000,345.00,2014,"Transit",66.86240000
"Kepler-330 c","Kepler-330",15.95538700000,1.95000000,4.46000000,573.00,2014,"Transit",717.52700000
"Kepler-1243 b","Kepler-1243",16.83207290000,1.75000000,3.71000000,690.00,2016,"Transit",758.17000000
"Kepler-360 b","Kepler-360",3.28967200000,1.65000000,3.36000000,1116.00,2014,"Transit",876.04400000
"Kepler-49 e","Kepler-49",18.59610800000,1.56000000,1.03815000,371.00,2014,"Transit",311.22200000
"Kepler-140 b","Kepler-140",3.25427000000,1.61000000,3.22000000,1301.00,2014,"Transit",583.85900000
"Kepler-122 d","Kepler-122",21.58747500000,2.20000000,5.48000000,747.00,2014,"Transit",1027.45000000
"HIP 113103 b","HIP 113103",7.61030300000,1.82900000,4.00000000,721.00,2023,"Transit",46.21220000
"HD 28109 d","HD 28109",84.28990000000,3.11000000,5.80000000,561.00,2022,"Transit",139.61100000
"Kepler-37 c","Kepler-37",21.30184800000,0.75500000,1.30000000,615.00,2013,"Transit",63.92070000
"Kepler-268 c","Kepler-268",83.44639300000,3.38000000,11.40000000,471.00,2014,"Transit",851.87000000
"Kepler-171 c","Kepler-171",11.46346200000,2.56000000,7.08000000,752.00,2014,"Transit",863.85500000
"Kepler-133 c","Kepler-133",31.51758600000,2.84000000,8.45000000,663.00,2014,"Transit",653.60000000
"Kepler-185 b","Kepler-185",1.63290000000,1.17000000,1.71000000,1237.00,2014,"Transit",466.73500000
"WASP-50 b","WASP-50",1.95510000000,13.06969400,466.82870400,1394.84,2011,"Transit",184.84800000
"HD 167768 b","HD 167768",20.65320000000,13.90000000,270.15414595,,2022,"Radial Velocity",107.21400000
"Kepler-346 b","Kepler-346",6.51112700000,2.66000000,7.56000000,1008.00,2014,"Transit",984.10500000
"Kepler-718 b","Kepler-718",2.05234990500,16.56000000,,1497.00,2016,"Transit",1302.33000000
"Kepler-720 b","Kepler-720",4.70832654200,8.41000000,53.40000000,1162.00,2016,"Transit",1065.37000000
"Kepler-1241 b","Kepler-1241",18.55257010000,2.63000000,7.41000000,612.00,2016,"Transit",968.72200000
"Kepler-495 b","Kepler-495",3.41303622100,5.23000000,23.80000000,1200.00,2016,"Transit",658.92400000
"Kepler-281 b","Kepler-281",14.64600800000,2.82000000,324.00000000,694.00,2014,"Transit",1745.45000000
"Kepler-288 b","Kepler-288",6.09732600000,1.67000000,3.43000000,1197.00,2014,"Transit",1194.15000000
"Kepler-394 b","Kepler-394",8.00501300000,1.60000000,3.19000000,1035.00,2014,"Transit",1058.72000000
"Kepler-189 b","Kepler-189",10.39993100000,1.21000000,1.92000000,678.00,2014,"Transit",591.53400000
"HD 27894 d","HD 27894",5019.54244000000,12.70000000,2063.65984665,,2017,"Radial Velocity",43.82140000
"TOI-2986 b","TOI-2986",3.27836620000,9.29224500,96.61983573,1622.00,2025,"Transit",563.14900000
"WASP-154 b","WASP-154",3.81167800000,10.76062147,198.96058278,994.00,2025,"Transit",215.50100000
"Kepler-1990 c","Kepler-1990",4.06844957000,0.98000000,0.90400000,1170.00,2023,"Transit",392.73900000
"Kepler-148 b","Kepler-148",1.72936600000,1.80000000,3.89000000,1284.00,2014,"Transit",791.16300000
"Kepler-178 c","Kepler-178",20.55280200000,2.88000000,8.65000000,656.00,2014,"Transit",716.02500000
"Kepler-686 b","Kepler-686",1.59474546300,12.15000000,,1539.00,2016,"Transit",1490.94000000
"Kepler-468 b","Kepler-468",38.47875706700,13.34000000,,484.00,2016,"Transit",442.87100000
